Sl_No,Company Name,Contact Type,Call Status,Follow - Up,Number_of Call_Attempts,Lead - Status,Phone Type,Point of Contact Status,Valid_Email_ID
3,A1,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
6,A1,Existing,Wrong POC,Phone,5,,Direct Line,Not Important,No
11,A1,Existing,Wrong POC,,3,,Reception,Not Sure,No
17,A1,Existing,No response,,2,,Invalid,Not Sure,No
9,A2,Existing,No response,,1,,Direct Line,Important,Not Sure
1366,A3,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,A3,New,Wrong POC,,2,,Reception,Not Important,Not Sure
,A3,,No response,,1,,Reception,Not Important,
16,A4,Existing,Not Interested,,1,,Direct Line,Not Important,Not Sure
,A4,New,Not Interested,,1,,Direct Line,Important,Not Sure
1328,A5,Existing,No response,,3,,Direct Line,Not Sure,Not Sure
8,A6,Existing,No response,,3,,Direct Line,Not Important,Not Sure
4,A7,Existing,Not Interested,,1,,Not Sure,Important,Not Sure
5,A8,Existing,No response,,1,,Not Sure,Important,Not Sure
15,A8,Existing,Wrong POC,,2,,Reception,Not Important,Not Sure
,A8,New,No response,,5,,Reception,Not Sure,Not Sure
7,A9,Existing,No response,,3,,Reception,Not Sure,Not Sure
10,A9,Existing,No response,,3,,Reception,Not Sure,Not Sure
12,A9,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
18,A9,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
19,A10,Existing,Not Interested,,4,,Reception,Not Sure,Not Sure
1293,A11,Existing,No response,,2,,Invalid,Not Sure,No
20,A12,Existing,Wrong POC,,1,,Direct Line,Not Important,Not Sure
21,A12,Existing,No response,,3,,Reception,Not Sure,Not Sure
22,A13,Existing,No response,,1,,Direct Line,Important,Not Sure
23,A14,Existing,Wrong POC,,2,,Reception,Not Important,Not Sure
,A14,New,Lead,,5,Cold,Direct Line,Important,Yes
24,A14,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
1,A15,Existing,No response,VM/Email,4,,Direct Line,Not Important,Not Sure
2,A15,Existing,Not Interested,,2,,Direct Line,Not Important,Not Sure
25,A15,Existing,Not Interested,,2,,Reception,Important,Not Sure
28,A16,Existing,No response,,2,,Invalid,Not Sure,Not Sure
1294,A17,Existing,No response,,,,Reception,Not Important,Not Sure
26,A18,Existing,No response,,1,,Reception,Important,Not Sure
27,A18,Existing,No response,,,,Reception,,Not Sure
31,A18,Existing,No response,,1,,Direct Line,Important,Not Sure
32,A18,Existing,No response,,1,,Direct Line,Important,Not Sure
29,A19,Existing,Not Interested,,4,,Reception,Important,Not Sure
30,A19,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
33,A20,Existing,Wrong POC,,1,,Not Sure,Not Important,Not Sure
34,A21,Existing,No response,,1,,Direct Line,Important,Not Sure
35,A21,Existing,Not Interested,,1,,Direct Line,Important,Not Sure
36,A21,Existing,Wrong POC,,1,,Invalid,Not Important,No
,A21,New,Not Interested,,1,,Direct Line,Important,Not Sure
37,A22,Existing,No response,,3,,Reception,Not Sure,Not Sure
1297,A23,Existing,Wrong POC,,1,,Reception,Not Important,Not Sure
,A23,New,No response,,3,,Reception,Not Sure,Not Sure
1204,A24,Existing,Not Interested,,1,,Reception,Important,Not Sure
38,A25,Existing,Wrong POC,VM/Email,2,,Reception,Not Important,Not Sure
