product_search_1,checkout_process_1,shipping_options_1,NES_overall_1,overall_experience_1,ship_dates_1,freight_cost_1,product_price_1,product_availablity_1,helpful_1,overall_NPS_NPS_GROUP,overall_NPS,Conditional_2_TEXT - Topics,,
"How easy is it for you to search and find the product
you are looking for? - Response","How
easy is it for you to navigate the checkout process? - Response","How
easy is it to choose your shipping options? - Response","Overall
how easy is it to find exactly what you need on the All-Spec website? - Response",What is your overall customer experience with All-Spec? - Response,"How
satisfied are you with the expected ship dates? - Response","How
satisfied are you with the freight cost? - Response","How
satisfied are you with the prices of the products? - Response","When
you go to place an order is the product available and in the quantities you
need? - Response","If
you ever needed help using the Live Chat
function or customer service, how helpful was it? - Response","On a scale from 0-10, how likely are you to recommend All-Spec to a friend or colleague? - Group","On a scale from 0-10, how likely are you to recommend All-Spec to a friend or colleague?",Conditional_2_TEXT - Topics,,
"{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_NPS_GROUP""}","{""ImportId"":""QID19""}","{""ImportId"":""QID6_2_TEXT_3b250a0d133b4f2db3da08e8Topics""}",,
7,6,7,3,9,5,8,7,4,9,Promoter,5,,,
6,1,4,2,4,3,5,10,6,4,Detractor,1,,,
4,3,4,5,3,3,,10,7,,Promoter,5,,,
5,1,4,1,3,4,8,2,10,5,Passive,8,,,
1,4,6,5,9,8,,2,2,,Promoter,8,,,
4,6,4,1,3,1,,5,1,,Promoter,4,,,
4,3,5,2,9,4,9,9,8,10,Promoter,10,,,
6,5,7,6,5,3,,9,10,,Detractor,10,,,
2,1,3,6,3,9,,10,4,6,Passive,4,,,
7,7,3,5,10,3,,6,9,,Promoter,9,,,
5,5,4,4,6,8,,5,9,,Promoter,6,,,
6,5,6,5,4,6,,1,6,,Promoter,2,,,
4,3,3,5,8,3,,6,5,,Passive,10,,,
6,7,2,1,9,8,9,2,10,9,Promoter,10,,,4
7,2,5,7,10,2,10,5,3,,Promoter,4,,,5
1,5,2,3,2,3,,7,7,,Promoter,1,,,3
5,1,1,5,3,8,9,10,1,,Promoter,7,,,7
5,3,5,5,4,10,7,9,7,10,Promoter,9,,,1
5,3,5,1,10,1,1,8,10,,Passive,1,,,3
3,7,5,7,6,7,5,1,1,,Passive,5,,,3
5,5,7,7,10,5,,5,1,10,Promoter,8,,,7
1,6,2,4,1,5,,6,4,,Promoter,2,,,3
7,1,4,7,5,9,9,5,1,8,Detractor,4,,,3
7,7,5,7,1,6,,7,2,8,Passive,10,,,5
4,2,3,2,3,10,,6,6,9,Promoter,6,,,4
7,1,5,4,6,7,,9,5,,Promoter,9,,,4
3,3,3,1,1,3,7,4,10,10,Promoter,6,,,
5,6,3,1,2,10,9,6,2,9,Promoter,6,,,
4,6,6,6,5,3,6,10,2,10,Promoter,9,,,
2,6,6,6,3,1,,4,2,10,Promoter,8,,,
6,4,2,1,8,2,,5,4,,Promoter,10,,,
7,2,1,7,4,5,6,10,8,,Promoter,2,,,
6,5,2,1,10,4,10,3,6,,Promoter,3,,,
1,2,7,2,6,9,,9,2,,Promoter,3,,,
2,4,4,3,9,3,,7,1,,Promoter,5,,,
5,4,2,1,1,4,,9,1,,Promoter,3,,,
7,4,2,7,8,9,10,9,1,,Promoter,8,,,
6,2,5,2,2,10,10,8,10,10,Promoter,7,,,
7,7,1,6,6,4,10,6,3,,Detractor,10,,,
3,4,4,7,9,4,,9,3,9,Promoter,8,,,
3,2,4,6,1,6,10,6,6,,Promoter,1,,,
3,2,7,7,5,8,8,8,7,10,Promoter,5,,,
2,1,5,5,4,10,,10,10,7,Passive,5,,,
5,7,6,1,8,3,,4,10,,Passive,6,,,
3,5,2,7,6,2,,7,5,,Promoter,9,,,
3,6,3,2,5,6,,2,7,10,Promoter,7,,,
7,2,5,4,7,10,,6,8,10,Promoter,8,,,
7,6,1,7,5,2,,7,5,,Detractor,2,,,
6,1,4,3,5,6,8,6,7,8,Passive,3,,,
7,6,3,3,2,9,7,4,4,9,Promoter,5,,,
6,1,4,4,5,5,,1,1,10,Promoter,1,,,
6,3,4,1,2,6,,4,7,,Promoter,5,,,
1,1,5,7,7,7,,10,3,6,Passive,7,,,
7,6,1,4,3,1,,1,7,,Promoter,2,,,
6,4,7,6,6,8,,9,10,,Promoter,9,,,
2,4,6,6,5,5,,6,2,10,Promoter,8,,,
5,6,6,6,4,8,5,6,4,,Promoter,2,,,
3,4,6,5,3,6,10,9,1,,Promoter,10,,,
1,2,7,1,10,5,,3,2,,Promoter,8,,,
4,1,3,4,2,1,,5,4,,Passive,10,,,
7,6,3,5,2,5,,5,1,,Promoter,9,,,
7,2,4,4,10,5,,3,9,,Passive,7,,,
4,7,2,2,4,7,,8,10,,Promoter,1,,,
4,3,3,4,6,8,,9,1,9,Promoter,9,,,
5,7,3,4,8,6,,9,6,,Promoter,10,,,
2,1,1,1,1,3,9,1,4,,Passive,9,,,
3,1,5,5,8,2,,8,2,,Passive,7,,,
1,4,5,2,7,7,,4,4,,Promoter,4,,,
2,6,5,6,1,1,9,2,9,9,Promoter,10,,,
3,6,1,6,4,3,,3,6,,Promoter,8,,,
6,3,7,7,7,2,9,10,1,10,Promoter,6,,,
4,4,3,6,1,3,,2,4,,Passive,6,,,
2,2,5,5,4,4,,9,7,,Promoter,2,,,
4,1,1,5,5,8,7,1,2,,Passive,7,,,
4,4,1,4,3,8,8,4,8,,Promoter,2,,,
7,6,5,2,5,3,,1,5,,Promoter,5,,,
6,6,1,2,5,5,,6,5,,Promoter,8,,,
4,7,6,6,8,2,,10,2,9,Passive,8,,,
2,1,4,5,8,9,9,2,6,,Promoter,6,,,
1,2,1,4,9,2,9,9,5,10,Passive,5,,,
2,6,1,6,6,7,,5,4,,Promoter,3,,,
5,5,5,2,10,5,,4,4,,Promoter,9,,,
1,6,2,1,5,9,,2,7,,Promoter,5,,,
1,7,2,6,5,8,7,1,5,,Passive,1,,,
2,1,3,1,4,8,,3,1,,Promoter,9,,,
5,5,4,3,6,3,,8,9,,Passive,1,,,
4,1,3,6,6,3,8,1,5,,Promoter,9,,,
3,7,1,2,3,8,8,6,2,,Passive,7,,,
6,5,3,7,4,10,10,7,1,10,Promoter,5,,,
5,5,7,7,6,4,8,9,4,,Promoter,1,,,
7,6,7,2,3,9,9,2,8,,Promoter,2,,,
4,2,3,5,7,8,,5,10,7,Passive,3,,,
5,2,3,7,5,4,,1,2,,Passive,7,,,
3,4,3,3,10,10,8,7,10,,Promoter,7,,,
3,6,3,1,7,2,8,1,6,8,Promoter,6,,,
5,2,5,7,10,8,,5,6,9,Passive,1,,,
1,2,2,3,7,5,,3,10,9,Promoter,1,,,
6,6,3,6,1,4,,10,2,9,Promoter,10,,,
4,5,3,4,3,4,,4,6,,Promoter,6,,,
5,7,7,4,9,9,9,7,5,,Passive,9,,,
